dir_up,dir_down,dir_left,dir_right,danger_straight,danger_left,danger_right,dx_food,dy_food,action
0,0,1,0,0,0,0,-0.3,-0.9310344827586207,0
0,0,1,0,0,0,0,-0.275,-0.9310344827586207,0
0,0,1,0,0,0,0,-0.25,-0.9310344827586207,0
0,0,1,0,0,0,0,-0.225,-0.9310344827586207,0
0,0,1,0,0,0,0,-0.2,-0.9310344827586207,0
0,0,1,0,0,0,0,-0.175,-0.9310344827586207,0
0,0,1,0,0,0,0,-0.15,-0.9310344827586207,0
0,0,1,0,0,0,0,-0.125,-0.9310344827586207,0
0,0,1,0,0,0,0,-0.1,-0.9310344827586207,0
0,0,1,0,0,0,0,-0.075,-0.9310344827586207,0
0,0,1,0,0,0,0,-0.05,-0.9310344827586207,2
1,0,0,0,0,0,0,-0.05,-0.896551724137931,0
1,0,0,0,0,0,0,-0.05,-0.8620689655172413,0
1,0,0,0,0,0,0,-0.05,-0.8275862068965517,0
1,0,0,0,0,0,0,-0.05,-0.7931034482758621,1
0,0,1,0,0,0,0,-0.025,-0.7931034482758621,2
1,0,0,0,0,0,0,-0.025,-0.7586206896551724,0
1,0,0,0,0,0,0,-0.025,-0.7241379310344828,0
1,0,0,0,0,0,0,-0.025,-0.6896551724137931,0
1,0,0,0,0,0,0,-0.025,-0.6551724137931034,0
1,0,0,0,0,0,0,-0.025,-0.6206896551724138,0
1,0,0,0,0,0,0,-0.025,-0.5862068965517241,0
1,0,0,0,0,0,0,-0.025,-0.5517241379310345,0
1,0,0,0,0,0,0,-0.025,-0.5172413793103449,1
0,0,1,0,0,0,0,0.0,-0.5172413793103449,2
1,0,0,0,0,0,0,0.0,-0.4827586206896552,0
1,0,0,0,0,0,0,0.0,-0.4482758620689655,0
1,0,0,0,0,0,0,0.0,-0.41379310344827586,0
1,0,0,0,0,0,0,0.0,-0.3793103448275862,0
1,0,0,0,0,0,0,0.0,-0.3448275862068966,0
1,0,0,0,0,0,0,0.0,-0.3103448275862069,0
1,0,0,0,0,0,0,0.0,-0.27586206896551724,0
